DATE,Invoice No,Customer Name,Balance,DAYS,Salesman Name
26/08/2025,15001031,ABRAJ SHAFA TRADING,151.2525,195,ANAS
09/09/2025,15001160,ABRAJ SHAFA TRADING,84.2625,181,ANAS
21/09/2025,15001269,ABRAJ SHAFA TRADING,44.625,169,ANAS
22/09/2025,15001285,ABRAJ SHAFA TRADING,7.35,168,ANAS
15/11/2025,15001721,ABU HANI ALAJMI INTERNATIONAL LLC,68.565,114,ANAS
10/01/2026,15002543,ABU HANI ALAJMI INTERNATIONAL LLC,438.9,58,ANAS
31/08/2025,15001077,ABU MALAK ALSAMSAMI TRADING,100,190,ANAS
05/11/2025,15001699,ABU MALAK ALSAMSAMI TRADING,1.74,124,ANAS
06/01/2026,15002456,ABU MALAK ALSAMSAMI TRADING,67.62,62,ANAS
17/02/2026,15003072,ABU MALAK ALSAMSAMI TRADING,38.325,20,ANAS
03/09/2025,15001115,ABU MALAK ALSAMSAMI TRADING- SEEB BRANCH,7.44,187,ANAS
14/02/2026,15003025,ABU MALAK ALSAMSAMI TRADING- SEEB BRANCH,21,23,ANAS
07/08/2025,15000818,ADNAN BIN MOHAMMED AL BALUSHI TRADING,0.7325,214,ANAS
26/10/2025,15001616,ADNAN BIN MOHAMMED AL BALUSHI TRADING,323.19,134,ANAS
22/11/2025,15001882,ADNAN BIN MOHAMMED AL BALUSHI TRADING,55.23,107,ANAS
25/11/2025,15001942,ADVANCED INFORMATION SYSTEM,95.13,104,ANAS
20/12/2025,15002230,ADVANCED INFORMATION SYSTEM,136.92,79,ANAS
09/02/2026,15002972,ADVANCED INFORMATION SYSTEM,71.925,28,ANAS
31/08/2025,15001092,AL AFAQ UNITED INTERNATIONAL LLC,57.015,190,ANAS
29/01/2026,15002849,AL AFIYA GATE SUR,69.3,39,ANAS
09/02/2026,15002984,AL AFIYA GATE SUR,83.475,28,ANAS
03/11/2025,15001686,AL BASMA ELECTRONICS LLC AL SEEB BRANCH,322.875,126,ANAS
20/11/2025,15001873,AL BASMA ELECTRONICS LLC AL SEEB BRANCH,304.5,109,ANAS
20/11/2025,15001874,AL BASMA ELECTRONICS LLC AL SEEB BRANCH,63,109,ANAS
03/12/2025,15002028,AL BASMA ELECTRONICS LLC AL SEEB BRANCH,168,96,ANAS
08/12/2025,15002074,AL BASMA ELECTRONICS LLC AL SEEB BRANCH,472.5,91,ANAS
27/12/2025,15002298,AL BASMA ELECTRONICS LLC AL SEEB BRANCH,1317.75,72,ANAS
26/01/2026,15002786,AL BASMA ELECTRONICS LLC AL SEEB BRANCH,760.2,42,ANAS
02/12/2025,15002012,AL OSAN COMPLETE ENTERPRISES LLC,324.24,97,ANAS
04/12/2025,15002036,AL OSAN COMPLETE ENTERPRISES LLC,22.05,95,ANAS
09/12/2025,15002092,AL OSAN COMPLETE ENTERPRISES LLC,694.05,90,ANAS
15/12/2025,15002178,AL OSAN COMPLETE ENTERPRISES LLC,564.9,84,ANAS
27/12/2025,15002301,AL OSAN COMPLETE ENTERPRISES LLC,178.5,72,ANAS
29/12/2025,15002337,AL OSAN COMPLETE ENTERPRISES LLC,119.7,70,ANAS
30/12/2025,15002358,AL OSAN COMPLETE ENTERPRISES LLC,330.225,69,ANAS
03/01/2026,15002394,AL OSAN COMPLETE ENTERPRISES LLC,70.35,65,ANAS
06/01/2026,15002464,AL OSAN COMPLETE ENTERPRISES LLC,782.46,62,ANAS
06/01/2026,15002510,AL OSAN COMPLETE ENTERPRISES LLC,2887.5,62,ANAS
21/01/2026,15002661,AL OSAN COMPLETE ENTERPRISES LLC,1514.625,47,ANAS
10/02/2026,15003002,AL OSAN COMPLETE ENTERPRISES LLC,594.3,27,ANAS
04/03/2026,15003220,AL OSAN COMPLETE ENTERPRISES LLC,178.5,5,ANAS
04/03/2026,15003222,AL OSAN COMPLETE ENTERPRISES LLC,178.5,5,ANAS
19/08/2025,15000984,AL QABAYEL DISCOUNT CENTER LLC-BOUSHER,0.765,202,ANAS
02/11/2025,15001678,AL QABAYEL DISCOUNT CENTER LLC-BOUSHER,0.89,127,ANAS
12/01/2026,15002567,AL QABAYEL DISCOUNT CENTER LLC-BOUSHER,681.66,56,ANAS
13/01/2026,15002585,AL QABAYEL DISCOUNT CENTER LLC-HAIL,289.8,55,ANAS
27/01/2026,15002803,AL QABAYEL DISCOUNT CENTER LLC-HAIL,306.075,41,ANAS
08/03/2026,15003268,AL QABAYEL DISCOUNT CENTER LLC-HAIL,323.61,1,ANAS
08/09/2025,15001152,AL QABAYEL DISCOUNT CENTER LLC-MABELLA,0.56,182,ANAS
12/11/2025,15001779,AL QABAYEL DISCOUNT CENTER LLC-MABELLA,0.52,117,ANAS
26/01/2026,15002781,AL QABAYEL DISCOUNT CENTER LLC-MABELLA,282.87,42,ANAS
01/12/2025,15001989,AL QAISAR AL WATANYAH LILASTHAMAR,3.53,98,ANAS
16/12/2025,15002195,AL QAISAR AL WATANYAH LILASTHAMAR,47.25,83,ANAS
13/01/2026,15002583,AL QAISAR AL WATANYAH LILASTHAMAR,54.915,55,ANAS
17/11/2025,15001817,AL SHAAER INERNATIONAL,34.65,112,ANAS
26/01/2026,15002772,AL SHAAER INERNATIONAL,92.295,42,ANAS
28/01/2026,15002829,ALMAS ALKHOUDH LLC,52.395,40,ANAS
